"Reset Hokodo Organisation","Reset Hokodo Organisation"
"Reset organisation successfully complete.","Reset organisation successfully complete."
"Something went wrong while resetting customer organisation.","Something went wrong while resetting customer organisation."
"Transaction has been declined. Please try again later.","Transaction has been declined. Please try again later."
"Hokodo BNPL gateway has rejected request. Please try again later","Hokodo BNPL gateway has rejected request. Please try again later"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
"Hokodo BNPL gateway has rejected request.","Hokodo BNPL gateway has rejected request."
Sandbox,Sandbox
Production,Production
Authorise,Authorise
"Authorise Capture","Authorise Capture"
Order,Order
"The organisation with the ""%1"" ID doesn't exist.","The organisation with the ""%1"" ID doesn't exist."
"The organisation with the ""%1"" company doesn't exist.","The organisation with the ""%1"" company doesn't exist."
"The organisation with the ""%1"" api id doesn't exist.","The organisation with the ""%1"" api id doesn't exist."
"Unable create shipping right now. Please try again later","Unable create shipping right now. Please try again later"
Country,Country
"Search registered company","Search registered company"
Edit,Edit
"Buy now pay later is only available to UK registered companies","Buy now pay later is only available to UK registered companies"
"Apologies, at this time Hokodo payment plans are only available to registered companies. Please choose an alternative payment method to continue.","Apologies, at this time Hokodo payment plans are only available to registered companies. Please choose an alternative payment method to continue."
"Hokodo Services is authorised by the Financial Conduct Authority as Appointed Representative of Innovation Risk Ltd.","Hokodo Services is authorised by the Financial Conduct Authority as Appointed Representative of Innovation Risk Ltd."
Close,Close
"Search for company","Search for company"
"Company %s doesn't exist","Company %s doesn't exist"
"Hokodo BNPL","Hokodo BNPL"
Enabled,Enabled
Environment,Environment
"Development API Key","Development API Key"
"Sandbox API Key","Sandbox API Key"
"Production API Key","Production API Key"
"The field Billing Address Postal Code is required.","The field Billing Address Postal Code is required."
"The field Shipping Address Postal Code is required.","The field Shipping Address Postal Code is required."
"hokodo_user_id","User Id"
"hokodo_organisation_id","Organisation Id"
"hokodo_order_id","Order Id"
"hokodo_payment_offer_id","Payment Offer Id"
"hokodo_deferred_payment_id","Deferred Payment Id"
"Buy now. Pay Later.","Buy now. Pay Later."
"Order today, pay ""%1"" on ""%2"".","Order today, pay ""%1"" on ""%2""."
"No account needed. Free of charge, always.","No account needed. Free of charge, always."
